OBJECTID,ZIPCODE,ZIP,TOOLTIP,NLA_URL
190,91202,91202,Zip Code: 91202,navigatela/reports/zipcode_county_report.cfm?pk=91202
191,91203,91203,Zip Code: 91203,navigatela/reports/zipcode_county_report.cfm?pk=91203
192,91204,91204,Zip Code: 91204,navigatela/reports/zipcode_county_report.cfm?pk=91204
193,91205,91205,Zip Code: 91205,navigatela/reports/zipcode_county_report.cfm?pk=91205
194,91206,91206,Zip Code: 91206,navigatela/reports/zipcode_county_report.cfm?pk=91206
195,91207,91207,Zip Code: 91207,navigatela/reports/zipcode_county_report.cfm?pk=91207
196,91208,91208,Zip Code: 91208,navigatela/reports/zipcode_county_report.cfm?pk=91208
197,91210,91210,Zip Code: 91210,navigatela/reports/zipcode_county_report.cfm?pk=91210
198,91214,91214,Zip Code: 91214,navigatela/reports/zipcode_county_report.cfm?pk=91214
199,91301,91301,Zip Code: 91301,navigatela/reports/zipcode_county_report.cfm?pk=91301
200,91302,91302,Zip Code: 91302,navigatela/reports/zipcode_county_report.cfm?pk=91302
201,91303,91303,Zip Code: 91303,navigatela/reports/zipcode_county_report.cfm?pk=91303
202,91304,91304,Zip Code: 91304,navigatela/reports/zipcode_county_report.cfm?pk=91304
203,91306,91306,Zip Code: 91306,navigatela/reports/zipcode_county_report.cfm?pk=91306
204,91307,91307,Zip Code: 91307,navigatela/reports/zipcode_county_report.cfm?pk=91307
205,91311,91311,Zip Code: 91311,navigatela/reports/zipcode_county_report.cfm?pk=91311
206,91316,91316,Zip Code: 91316,navigatela/reports/zipcode_county_report.cfm?pk=91316
207,91321,91321,Zip Code: 91321,navigatela/reports/zipcode_county_report.cfm?pk=91321
208,91324,91324,Zip Code: 91324,navigatela/reports/zipcode_county_report.cfm?pk=91324
209,91325,91325,Zip Code: 91325,navigatela/reports/zipcode_county_report.cfm?pk=91325
210,91326,91326,Zip Code: 91326,navigatela/reports/zipcode_county_report.cfm?pk=91326
211,91330,91330,Zip Code: 91330,navigatela/reports/zipcode_county_report.cfm?pk=91330
212,91331,91331,Zip Code: 91331,navigatela/reports/zipcode_county_report.cfm?pk=91331
213,91335,91335,Zip Code: 91335,navigatela/reports/zipcode_county_report.cfm?pk=91335
214,91340,91340,Zip Code: 91340,navigatela/reports/zipcode_county_report.cfm?pk=91340
215,91342,91342,Zip Code: 91342,navigatela/reports/zipcode_county_report.cfm?pk=91342
216,91343,91343,Zip Code: 91343,navigatela/reports/zipcode_county_report.cfm?pk=91343
217,91344,91344,Zip Code: 91344,navigatela/reports/zipcode_county_report.cfm?pk=91344
218,91345,91345,Zip Code: 91345,navigatela/reports/zipcode_county_report.cfm?pk=91345
219,91350,91350,Zip Code: 91350,navigatela/reports/zipcode_county_report.cfm?pk=91350
220,91351,91351,Zip Code: 91351,navigatela/reports/zipcode_county_report.cfm?pk=91351
221,91352,91352,Zip Code: 91352,navigatela/reports/zipcode_county_report.cfm?pk=91352
222,91354,91354,Zip Code: 91354,navigatela/reports/zipcode_county_report.cfm?pk=91354
223,91355,91355,Zip Code: 91355,navigatela/reports/zipcode_county_report.cfm?pk=91355
